%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fuel_level
1509044748130936537,28030,1509044748130796821,,35.4348945618
1509044748228682750,28031,1509044748228051446,,35.4348945618
1509044748327437560,28032,1509044748327272719,,35.4348945618
1509044748427349959,28033,1509044748427255193,,35.4348945618
1509044748527384963,28034,1509044748527270128,,35.4348945618
1509044748627399678,28035,1509044748627289530,,35.4348945618
1509044748727402200,28036,1509044748727298296,,35.4348945618
1509044748827636868,28037,1509044748827319984,,35.4348945618
1509044748927405967,28038,1509044748927320655,,35.4348945618
1509044749027414017,28039,1509044749027338216,,35.4348945618
1509044749128033243,28040,1509044749127930153,,35.4348945618
1509044749227460142,28041,1509044749227365003,,35.4348945618
1509044749327884852,28042,1509044749327374357,,35.4348945618
1509044749427344347,28043,1509044749427081120,,35.4348945618
1509044749527487218,28044,1509044749527147252,,35.4348945618
1509044749627484718,28045,1509044749627413842,,35.4348945618
1509044749727550605,28046,1509044749727428779,,35.4348945618
1509044749827648651,28047,1509044749827446430,,35.4348945618
1509044749927162881,28048,1509044749927037449,,35.4348945618
1509044750027906181,28049,1509044750027477077,,35.4348945618
1509044750128233744,28050,1509044750128156043,,35.4348945618
1509044750227667447,28051,1509044750227126285,,35.4348945618
1509044750327305902,28052,1509044750327094000,,35.4348945618
1509044750427298095,28053,1509044750427130099,,35.4348945618
1509044750527225940,28054,1509044750527120980,,35.4348945618
1509044750627809276,28055,1509044750627620715,,35.4348945618
1509044750727265774,28056,1509044750727146896,,35.4348945618
1509044750827275743,28057,1509044750827159915,,35.4348945618
1509044750927290515,28058,1509044750927176618,,35.4348945618
1509044751027306631,28059,1509044751027187525,,35.4348945618
1509044751129354840,28060,1509044751129280718,,35.4348945618
1509044751227315018,28061,1509044751227213888,,35.4348945618
1509044751327333298,28062,1509044751327222296,,35.4348945618
1509044751427335309,28063,1509044751427237673,,35.4348945618
1509044751527324891,28064,1509044751527249624,,35.4348945618
1509044751627441693,28065,1509044751627263438,,35.4348945618
1509044751727515885,28066,1509044751727358668,,35.4348945618
1509044751827520553,28067,1509044751827372537,,35.4348945618
1509044751927795983,28068,1509044751927720594,,35.4348945618
1509044752027510275,28069,1509044752027397842,,35.4348945618
1509044752129926648,28070,1509044752129771003,,35.4348945618
1509044752227770075,28071,1509044752227343126,,35.4348945618
1509044752327506691,28072,1509044752327437351,,35.4348945618
1509044752427568322,28073,1509044752427465262,,35.4348945618
1509044752527558395,28074,1509044752527386353,,35.4348945618
1509044752627745020,28075,1509044752627406666,,35.4348945618
1509044752727569231,28076,1509044752727437884,,35.4348945618
1509044752827886579,28077,1509044752827432044,,35.4348945618
1509044752927554421,28078,1509044752927442662,,35.4348945618
1509044753028024627,28079,1509044753027462535,,35.4348945618
1509044753134586086,28080,1509044753131544739,,35.4348945618
1509044753227586012,28081,1509044753227478264,,35.4348945618
1509044753328156725,28082,1509044753327518701,,35.4348945618
1509044753427633165,28083,1509044753427514996,,35.4348945618
1509044753527622008,28084,1509044753527520089,,35.4348945618
1509044753627741778,28085,1509044753627628075,,35.4348945618
1509044753727668135,28086,1509044753727546634,,35.4348945618
1509044753827658888,28087,1509044753827559874,,35.4348945618
1509044753927769811,28088,1509044753927580790,,35.4348945618
1509044754027828357,28089,1509044754027595235,,35.4348945618
1509044754129815087,28090,1509044754129678799,,35.4348945618
1509044754227768380,28091,1509044754227655085,,35.4348945618
1509044754327783294,28092,1509044754327633264,,35.4348945618
1509044754427777004,28093,1509044754427650613,,35.4348945618
1509044754527824529,28094,1509044754527657755,,35.4348945618
1509044754627848782,28095,1509044754627670122,,35.4348945618
1509044754727772970,28096,1509044754727680881,,35.4348945618
1509044754827790682,28097,1509044754827695496,,35.4348945618
1509044754927929978,28098,1509044754927704826,,35.4348945618
1509044755027827638,28099,1509044755027720652,,35.4348945618
1509044755129822659,28100,1509044755129742310,,35.4348945618
1509044755227889020,28101,1509044755227750659,,35.4348945618
1509044755327888922,28102,1509044755327768365,,35.4348945618
1509044755428484009,28103,1509044755427804543,,35.4348945618
1509044755529317234,28104,1509044755529205722,,35.4348945618
1509044755627911587,28105,1509044755627798291,,35.4348945618
1509044755727922669,28106,1509044755727833982,,35.4348945618
1509044755827958179,28107,1509044755827835545,,35.4348945618
1509044755928099743,28108,1509044755927852334,,35.4348945618
1509044756027931277,28109,1509044756027851805,,35.4348945618
1509044756129988600,28110,1509044756129864393,,35.4348945618
1509044756228204682,28111,1509044756227885706,,35.4348945618
1509044756327972521,28112,1509044756327890880,,35.4348945618
1509044756428070607,28113,1509044756427909076,,35.4348945618
1509044756528058548,28114,1509044756527947356,,35.4348945618
1509044756628030260,28115,1509044756627932040,,35.4348945618
1509044756727615839,28116,1509044756727529683,,35.4348945618
1509044756830047319,28117,1509044756829874566,,35.4348945618
1509044756928137837,28118,1509044756928053758,,35.4348945618
1509044757028171068,28119,1509044757027995410,,35.4348945618
1509044757130108343,28120,1509044757130003931,,35.4348945618
1509044757228148862,28121,1509044757228020931,,35.4348945618
1509044757328186973,28122,1509044757328040571,,35.4348945618
1509044757428234121,28123,1509044757428048691,,35.4348945618
1509044757528160063,28124,1509044757528055927,,35.4348945618
1509044757628256239,28125,1509044757628075528,,35.4348945618
1509044757728229721,28126,1509044757728080742,,35.4348945618
